id,gender,description,season,masterCategory,subCategory,simplifiedColour,sleeve_type,neck_type
50025,Women,"Nude coloured full length leggings, broad elasticated soft waistband stretchy Fit",Winter,Apparel,shirt,Brown,long sleeve,collar
50026,Women,"Maroon coloured full length leggings, broad elasticated soft waistband stretchy Fit",Winter,Apparel,shirt,Red,long sleeve,hooded
50027,Women,"Brown full length leggings stretchable, elasticated waistband comfortable fit, branding left side below waistband",Winter,Apparel,shirt,Brown,long sleeve,hooded
5014,Women,"Compositiondenim pedal pushers navy blue two side pockets, two back pockets, strong belt loops, branded zipper Levi's buttons, brand tag stitched right hip yellow stitch detailing at hemFittingComfort70 cmWash care Machine wash separately cold water, colour will bleed Use mild detergent Dry cleaning possible Do not bleach Avoid soaking Remove promptly Dry flat inside out shade Iron at medium setting only Iron reverse Wash before wearingThose pants that will make your young girl look like rock star are finally here. wide elastic at waist made soft fabric, your little princess will feel all light happy these bottoms. Pair it cotton top pair crocs footwear, there your little girl goes like doll!",Summer,Apparel,shirt,Blue,short sleeve,round neck
5015,Women,"CompositionWhite capris woven cotton soft elastic waist band, soft stretchable fabric gathered at calves, two side pockets, two back pockets, strong belt loops, branded zipper Levi's buttons brand tag stitched right hipFitRegular56 cmWash care Machine wash separately cold water, colour will bleed Use mild detergent Dry cleaning possible Do not bleach Avoid soaking Remove promptly Dry flat inside out shade Iron at medium setting only Iron reverse Wash before wearingThose pants that will make your young girl look like rock star are finally here. wide elastic at waist made soft fabric, your little princess will feel all light happy these bottoms. Pair it cotton top pair crocs footwear, there your little girl goes like doll!",Summer,Apparel,shirt,White,short sleeve,boat neck
5017,Women,"CompositionPink capris woven cotton soft elastic waist band, soft stretchable fabric gathered at calves, two side pockets, two back pockets, strong belt loops, branded zipper Levi's buttons brand tag stitched right hipFitting Regular 56 cm Wash care Machine wash separately cold water, colour will bleed Use mild detergent Dry cleaning possible Do not bleach Avoid soaking Remove promptly Dry flat inside out shade Iron at medium setting only Iron reverse Wash before wearing Those pants that will make your young girl look like rock star are finally here. wide elastic at waist made soft fabric, your little princess will feel all light happy these bottoms. Pair it cotton top pair crocs footwear, there your little girl goes like doll!",Summer,Apparel,shirt,Pink/Purple,short sleeve,boat neck
5019,Women,"CompositionRaw washed navy denim skirt halter neck suspenders, button zippers, elastic garter at back waist, side pockets along pockets at hips pink brand label stitched right hipFitting Regular 71 cm Wash care Machine wash separately cold water, colour will bleed Use mild detergent Dry cleaning possible Do not bleach Avoid soaking Remove promptly Dry flat inside out shade Iron at medium setting only Iron reverse Wash before wearing Let your little girl look like rock star this short pretty skirt. adjustable halter neck suspender sits comfortably round neck while sturdy Levi's trademark buttons zipper hold skirt snugly at waist, as your little princess prances around her friends. pockets sides back store her essentials like little napkin, few toffees, her clips her collectibles. Pair this round neck pure cotton pink tee footwear crocs that ultimate cute look.",Summer,Apparel,shirt,Blue,sleeveless,round neck
50321,Women,"Black woven round neck kurti, dobby weave patch at neck, short sleeves top stitch at hem, split neckline vented hem wide dobby weave border",Summer,Apparel,Topwear,Black/Gray,short sleeve,round neck
50322,Women,"Black woven round neck kurta, printed, short sleeves, split neckline white piping vented hem",Summer,Apparel,Topwear,Black/Gray,short sleeve,round neck
50323,Women,"Red woven round neck kurta, printed, short sleeves, split neckline vented hem wide printed border",Summer,Apparel,Topwear,Red,sleeveless,boat neck
50324,Women,"Peach orange print round neck kurta, woven, taping at centre front, three quarter sleeves band at hem vented hem",Summer,Apparel,Topwear,Pink/Purple,sleeveless,boat neck
50325,Women,"Navy blue red print round neck kurta, woven, taping at centre front, three quarter sleeves band at hem vented hem",Summer,Apparel,Topwear,Blue,sleeveless,round neck
50326,Women,"White red print kurta, woven, V neck mock placket at centre front, short sleeves band at hem vented hem",Summer,Apparel,Topwear,White,sleeveless,round neck
50327,Women,"Brown white, woven, round neck kurta, printed, short sleeves printed taping, split neckline vented hem",Summer,Apparel,Topwear,Brown,short sleeve,boat neck
50328,Women,"Green teal print kurta, woven, mandarin collar, short mock placket buttons at centre front, three quarter sleeves band at hem vented hem",Summer,Apparel,Topwear,Green,short sleeve,round neck
50329,Women,"Teal light blue print round neck kurta, split neck, woven, orange black printed facing golden coloured lace detail, taping at centre front, three quarter sleeves band at hem vented hem",Summer,Apparel,Topwear,Blue,short sleeve,boat neck
50330,Women,"Brown printed woven kurta, split neckline, three fourth sleeves paneling cuffs, paneling zari work yoke vented hem",Summer,Apparel,Topwear,Brown,short sleeve,round neck
50331,Women,"Off white blue, green pink all over print, round neck mock buttoned placket, three quarter sleeves band at hem, vented hem",Summer,Apparel,Topwear,White,short sleeve,round neck
50332,Women,"White multicoloured print round neck kurta, woven, mock placket at centre front, three quarter sleeves band at hem vented hem",Summer,Apparel,Topwear,White,sleeveless,boat neck
50333,Women,"White blue green print, woven, square neck kurta, printed, short sleeves taping, short buttoned placket vented hem wide printed border",Summer,Apparel,Topwear,White,sleeveless,round neck
50334,Women,"Red round neck kurta, striped, woven, short sleeves band that weave details, split neckline, weave detail at front shoulder vented hem",Summer,Apparel,Topwear,Red,sleeveless,boat neck
50335,Women,"Blue striped woven kurta, split neckline, short sleeves stitched detailing cuffs, stitched detailing yoke above vented hem",Summer,Apparel,Topwear,Blue,short sleeve,round neck
50336,Women,"Cream blue, pink green printed kurti, woven, V-shaped raised neck, three quarter sleeves vented hem",Summer,Apparel,Topwear,Orange/Yellow,short sleeve,boat neck
50337,Women,"Blue light blue print round neck kurti, red piping at neck, woven, patch front red piping, short sleeves vented hem",Summer,Apparel,Topwear,Blue,sleeveless,round neck
50338,Women,"Blue round neck kurti, woven, three quarter length sleeves band that weave details, short buttoned placket, weave detail yoke vented hem",Summer,Apparel,Topwear,Blue,sleeveless,round neck
50339,Women,"Yellow white printed kurti, woven, round, split neck white facing top stitch faux placket buttons, three quarter sleeves white facing yellow top stitch at sleeve hem vented hem",Summer,Apparel,Topwear,Orange/Yellow,sleeveless,round neck
50340,Women,"Chocolate brown, multicoloured printed kurti, woven, round, split neck white facing top stitch faux placket buttons, three quarter sleeves white facing brown top stitch at sleeve hem vented hem",Summer,Apparel,Topwear,Brown,sleeveless,round neck
50341,Women,"Rust round neck kurta, woven, three quarter length sleeves band that weave details, short buttoned placket, weave detail taping yoke vented hem",Summer,Apparel,Topwear,Orange/Yellow,sleeveless,boat neck
50342,Women,"Purple printed woven kurti, split neckline, three fourth sleeves, zari work yoke vented hem",Summer,Apparel,Topwear,Pink/Purple,short sleeve,boat neck
50343,Women,"Pink brown print, woven, square neck kurta, printed, short sleeves taping, short buttoned placket vented hem wide printed border",Summer,Apparel,Topwear,Pink/Purple,sleeveless,round neck
50344,Women,"Black printed woven kurta, V-neckline, short sleeves paneling cuffs, paneling yoke vented hem",Summer,Apparel,Topwear,Black/Gray,short sleeve,boat neck
50345,Women,"White printed woven kurta, split neckline, three fourth sleeves, paneling yoke vented hem",Summer,Apparel,Topwear,White,sleeveless,boat neck
50346,Women,"Pink blue white coloured embroidery at neck, woven, round neck short buttoned placket at centre front, three quarter sleeves, vented hem",Summer,Apparel,Topwear,Pink/Purple,short sleeve,boat neck
50347,Women,"Red golden bronze coloured embroidery, woven, mandarin collar slit at centre front, three quarter sleeves top stitch details at hem, vented hem",Summer,Apparel,Topwear,Red,sleeveless,boat neck
50348,Women,"Blue pink, silver purple embroidery, woven, mandarin collar slit at centre front, three quarter sleeves top stitch details at hem, vented hem",Summer,Apparel,Topwear,Blue,short sleeve,boat neck
50349,Women,"Red kurta, embroidery front, woven, round split neck blue facing faux placket buttons, three quarter sleeves blue taping at hem vented hem",Summer,Apparel,Topwear,Red,short sleeve,boat neck
50350,Women,"Blue kurta, woven, embroidery front, round split neck red facing faux placket buttons, three quarter sleeves red taping at hem vented hem",Summer,Apparel,Topwear,Blue,sleeveless,round neck
50351,Women,"Beige dobby weave design kurta, mandarin collar, woven, short placket at centre front, short sleeves band at hem vented hem",Summer,Apparel,Topwear,Brown,short sleeve,round neck
50352,Women,"Navy blue teal coloured embroidery at neck, woven, mandarin collar slit at centre front, three quarter sleeves embroidered patch at hem, vented hem",Summer,Apparel,Topwear,Blue,sleeveless,boat neck
50353,Women,"Pink black pink coloured embroidery at neck, woven, round neck short buttoned placket at centre front, top stitched facing at neck, three quarter sleeves, vented hem",Summer,Apparel,Topwear,Pink/Purple,sleeveless,boat neck
50354,Women,"Purple woven kurta, printed, round neck slit, sequined patch around neck, three quarter sleeves band at hem that sequins, vented hem wide printed border",Summer,Apparel,Topwear,Pink/Purple,short sleeve,round neck
50355,Women,"Rust brown woven kurta, mandarin collar split neckline, three fourth sleeves, embroidery zari work yoke vented hem",Summer,Apparel,Topwear,Brown,short sleeve,boat neck
50356,Women,"Black woven kurta, mandarin collar split neckline, zari work yoke, three fourth sleeves vented hem",Summer,Apparel,Topwear,Black/Gray,short sleeve,round neck
50357,Women,"Mustard brown woven kurta, round neck, chest button placket, three fourth sleeves paneling cuffs, paneling zari work yoke paneling above vented hem",Summer,Apparel,Topwear,Orange/Yellow,sleeveless,round neck
50385,Women,Pink white printed salwar dupatta setdupatta crushed / wrinkled look beaded tassels at edges salwar bottoms drawstring tie at waist pleats below waist,Fall,Apparel,shirt,Pink/Purple,long sleeve,turtle neck
50664,Men,"Charcoal grey shorts grey melange accents, knit, elasticated waistband drawstring closure, insert pocket at sides, contrast overlay along front sides, contrast panel along hems, embroidered branding towards front hem",Winter,Apparel,shirt,Black/Gray,long sleeve,collar
50665,Men,"Navy blue soccer shorts, welt pockets at side, elasticated waist drawstrings, grey panelling embroidered branding near hem",Winter,Apparel,shirt,Blue,long sleeve,polo
50698,Women,"Sleeveless purple knit jersey dress, round neckline key hole detail below neckline front, key hole detail at back buttoned closures at neckline, pintucks neckline waist front elasticated waistband",Summer,Apparel,Dress,Pink/Purple,sleeveless,round neck
50701,Women,"Pink knit top, round neckline, short sleeves shredded shawl detail below neckline front stitched at point left side",Fall,Apparel,Topwear,Pink/Purple,long sleeve,turtle neck
50702,Women,"Orange knitted top, round neck elasticated smocking at neckline, short sleeves frill at elasticated hem",Fall,Apparel,Topwear,Orange/Yellow,long sleeve,turtle neck
50703,Women,"Red knit top, round neckline, short sleeves, mock buttoned tab shoulders graphic print front",Summer,Apparel,Topwear,Red,short sleeve,round neck
50705,Women,"Cream knitted top, round neck, sleeveless floral print front",Summer,Apparel,Topwear,Orange/Yellow,sleeveless,boat neck
50708,Women,"Yellow grey horizontally striped knit top, V-neckline, softly folding collar, short sleeves, back yoke, stitch below bust left side, diagonal pleat running apex V-neckline above hemline left side gathers sides give curved hem effect",Summer,Apparel,Topwear,Orange/Yellow,short sleeve,round neck
50710,Women,"Black knitted top, V-neckline, long lace sleeves elasticated line centre give ruched effect front",Summer,Apparel,Topwear,Black/Gray,short sleeve,boat neck
50842,Women,"Pink dupatta crushed / wrinkled look, threadbare edges beaded detail",Summer,Apparel,Topwear,Pink/Purple,sleeveless,boat neck
50843,Women,"Purple dupatta crushed / wrinkled look, threadbare edges beaded detail",Summer,Apparel,Topwear,Pink/Purple,short sleeve,round neck
50844,Women,"Cream, Chanderi floral printed dupatta neatly trimmed edges",Summer,Apparel,Topwear,Orange/Yellow,short sleeve,round neck
50942,Women,"Style Note One world's largest denim wear Brands - lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans ochre white top stitch detail, two scoop pockets front binding top stitch detail, welt insert pocket right top stitch, yoke two patch pockets at back arquette embroidery, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model (height 5'8""and waist 32"") wearing size 30",Summer,Apparel,shirt,Blue,short sleeve,boat neck
50943,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans medium stone wash, two scoop pockets front embroidery detail, insert coin pocket right top stitch, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,hooded
50944,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their jeggings. This Summer brand presents range jeggings that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsNavy blue denim jeggings, two mock scoop pockets front top stitch detail, embroidered branding right , yoke two patch pockets at back arquette embroidery, waistband loops, zippered fly button, embroidered branding at back waistbandMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,sleeveless,boat neck
50945,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans, slight whiskering, two scoop pockets front insert coin pocket right, printed branding left side, yoke two patch pockets at back arquette print, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,sleeveless,round neck
50946,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlue denim jeans, stone washed slight whiskers chevrons, two scoop pockets front, zippered coin pocket right, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,collar
50947,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their jeggings. This Summer brand presents range jeggings that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product Details Dark blue denim jeggings, two mock slant pockets front, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material Care Cotton blend Machine wash cold Warm iron Size Fit Extra low rise, slim super skinny fit model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,short sleeve,boat neck
50948,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlack denim jeans, two scoop pockets front piping detail, insert coin pocket right top stitch, printed branding left, yoke two patch pockets at back arquette print , waistband loops, zippered fly button, PU patch branding at back waistbandMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Black/Gray,long sleeve,hooded
50949,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsNavy blue denim jeans, two scoop pockets front top stitch detail, insert coin pocket right dangling chains, yoke two patch pockets at back arquette embroidery, waistband loops, zippered fly button, PU patch branding at back waistbandMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,sleeveless,boat neck
50950,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlue denim jeans, slight whiskers chevrons, two scoop pockets front insert coin pocket right, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops triple top-stitch, zippered fly button, patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,collar
50951,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlack jeans, two scoop pockets front zippered insert coin pocket right , yoke two patch pockets at back arquette print, waistband loops, zippered fly button, PU patch branding at back waistbandMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Black/Gray,long sleeve,collar
50952,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans, stone washed slight whiskers chevrons, two scoop pockets front, pleated coin pocket right, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,short sleeve,boat neck
50953,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans ochre black top stitch detail, two scoop pockets front panelled insert coin pocket right top stitch, rivet stitch detail near pocket mouth, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,collar
50954,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlue jeans, two scoop pockets front embroidery detail pink, embroidery detail at side seams, insert coin pocket right side, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,hooded
50955,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans, two scoop pockets front panels embroidery front, insert coin pocket right, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, patch branding waistband at back Material CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,collar
50956,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlack denim jeans, two scoop pockets front embroidery detail, insert coin pocket right piping, yoke two patch pockets at back arquette embroidery, brand patch above right pocket, waistband loops, zippered fly button, PU patch branding at back waistbandMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Black/Gray,sleeveless,round neck
50957,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlue denim jeans, slight whiskering, two scoop pockets front piping detail, embroidered branding right, yoke two patch pockets at back arquette embroidery, brand patch over right pocket, waistband loops, zippered fly button, PU patch brandingMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,collar
50958,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsBlue denim jeans ochre white top stitch detail, medium stone wash, two scoop pockets front insert coin pocket right top stitch, yoke two panelled patch pockets at back arquette embroidery, brand badge over right pocket, waistband loops, zippered fly button, PU patch branding waistband at back Material Care Cotton blend Machine wash cold Warm iron Size Fit Extra low rise, slim super skinny fit model( height 5'8""and waist 28"") wearing size 28",Winter,Apparel,shirt,Blue,long sleeve,hooded
50960,Women,"Style Note One world's largest denim-wear Brands lee definitely knows how craft their denims. This Summer brand presents range denim jeans that you will want live in. Its blended fabric composition ensures super-stretchy feel that guaranteed not stretch -out over time. tops, t-shirts, tunics..... Whatever you pair it, lot complements will definitely come your way. Product DetailsDark blue denim jeans, two scoop pockets front piping detail, insert coin pocket embroidered branding right, yoke two patch pockets at back lace detail, brand patch over right pocket, waistband loops, zippered fly button, PU patch brandingMaterial CareCotton blendMachine wash coldWarm ironSize FitExtra low rise, slim super skinny fitThe model( height 5'8""and waist 28"") wearing size 28",Summer,Apparel,shirt,Blue,sleeveless,round neck
